TAIL_NUMBER,AVG_DELAY,PROPAGATION_COUNT,TOTAL_FLIGHTS
N953FR,28.89268292682927,45,205
N848MQ,15.590551181102363,45,254
N235WN,11.455764075067025,45,373
N415WN,13.484848484848484,45,363
N107SY,25.40566037735849,45,212
N560WN,8.938028169014084,45,355
N952FR,20.483695652173914,45,184
N509MQ,22.057416267942585,45,209
N509NK,14.931506849315069,45,292
N221WN,8.590785907859079,45,369
N603NK,22.08627450980392,45,255
N958WN,10.917582417582418,45,364
N963UW,10.375,45,344
N922MQ,10.907563025210084,45,357
N945UW,12.571856287425149,45,334
N355JB,17.11801242236025,45,322
N828UA,24.405405405405407,45,222
N971SW,14.59882005899705,45,339
N677MQ,10.613888888888889,45,360
N476HA,0.14766839378238342,45,772
N306JB,17.340625,45,320
N346JB,17.632716049382715,45,324
N683MQ,8.618181818181819,45,385
N297WN,13.184438040345821,45,347
N354SW,11.260188087774294,45,319
N270WN,11.881305637982196,45,337
N960SW,10.03916449086162,45,383
N864AS,5.958435207823961,45,409
N481HA,1.1327586206896552,45,580
N853AS,10.582474226804123,45,388
N370SW,12.33134328358209,45,335
N912SW,16.967105263157894,45,304
N843AS,13.447643979057592,45,382
N103SY,22.543010752688172,45,186
N706JB,21.240506329113924,45,237
N242WN,10.091152815013405,45,373
N710EV,20.980916030534353,45,262
N918SW,17.688524590163933,45,244
N535MQ,20.44043321299639,45,277
N268WN,13.713147410358566,45,251
N965UW,12.94822006472492,45,309
N758SK,15.805147058823529,45,272
N917WN,10.73352435530086,45,349
N179JB,22.751748251748253,45,286
N557WN,8.731481481481481,44,324
N608QX,17.725694444444443,44,288
N526SW,5.606299212598425,44,508
N397SW,10.753968253968255,44,378
N24702,20.141304347826086,44,184
N794SK,13.407692307692308,44,260
N929EV,20.238970588235293,44,272
N760JB,18.821428571428573,44,224
N443WN,13.748520710059172,44,338
N14998,8.611801242236025,44,322
N299WN,13.279883381924199,44,343
N672MQ,12.426116838487973,44,291
N604MQ,14.454545454545455,44,297
N957SW,11.13588850174216,44,287
N903WN,7.114613180515759,44,349
N304JB,16.275641025641026,44,312
N670SW,10.68051948051948,44,385
N292WN,9.725714285714286,44,350
N606LR,23.187214611872147,44,219
N653JB,18.65236051502146,44,233
N605MQ,9.519174041297935,44,339
N845MQ,15.97907949790795,44,239
N14230,24.2565445026178,44,191
N7735A,9.702702702702704,44,370
N502MQ,38.086092715231786,44,151
N703SK,16.845283018867924,44,265
N594SW,11.803977272727273,44,352
N503JB,22.41176470588235,44,204
N13903,9.28698224852071,44,338
N410WN,14.122159090909092,44,352
N842AS,15.214285714285714,44,294
N789SK,19.299638989169676,44,277
N838AS,15.892857142857142,44,392
N601MQ,16.173160173160174,44,231
N775JB,24.865384615384617,44,208
N806MQ,19.238493723849373,44,239
N453WN,13.117647058823529,44,340
N416WN,10.704735376044567,44,359
N635SW,8.835195530726256,44,358
N223WN,9.93142857142857,44,350
N619SW,16.453815261044177,44,249
N516NK,13.336666666666666,44,300
N469AA,22.720183486238533,44,218
N973SW,9.642666666666667,44,375
